V240001	V241172 - PRE: What does R dislike about the Democratic party [text]
216852	taxes on the middle class are far too high 
216988	unwillingness or inability to punch back 
216993	to much support to Isreal 
217017	I do not like their obsession with affirming things that are wicked. 
217041	the ultra left socialists of the party 
217059	I don’t like the way democrats are handling Israel and Palestine. 
217131	I think it is bowing at the feet of the mega rich and celebrities. they are not a party I knew as a young person. 
217136	they are sneaky, they use people to pay for other people and lie and say things are free and their taking care of it. it’s stupid to give ppl 5K a child who already don’t take care of their kids. that only makes them have more kids they won’t watch 
217148	That they are destroying our country. 
217182	when they had the majority they didn’t push through all of the things they said they would. I respect the attempt to work with the other guys but when Republicans have power they push things through 
217205	increase of interest rates and inflation and lack of educational funds, support of SOLs 
217258	the far left fringe that drives away undecided voter 
217263	Not taking a harder line on the environment 
217275	Abortion, immigration, inflation, and international policies. 
217287	offen ineffective, focus on stupid banalities or issues that are not as pressing, get caught in culture wars, often corporate focused in disguise as though helping the people 
217431	the way they let anyone cross the border 
217497	their stance towards Gaza and at times their ultra liberal policies 
217527	I think most politicians are in it for the power, but by far they are the lesser of two evils. 
217610	The way they've treated the border, they're foreign policy, the outrageous spending, The way they attack their political opponents, they're absolutely terrible picks for presidential candidate, The fakeness, the lies, for instance busing people into rallies making it look like they are more popular than they are and lying about it. nothing about them feels based in reality anymore. again I didn't used to feel this way about them 
217634	it's willingness to make this country a better place for minority 
217701	don’t draw a hard enough line. 
217719	I am unhappy with Middle East policy 
217731	immigration policy, focus on trans ideology 
217737	I do not like it’s elitism and passive racism. 
217778	I like the fact that the democrats try’s to unite 
217808	As concerned as they are to help out with societal issues, there seems to be no progress or improvements made. 
217948	Largely not progressive enough on social issues like trans affirming healthcare 
217954	Lack of international interference in sensitive issues. 
217972	they do not want to have stricter laws on immigration 
217995	have been to liberal. 
218013	They compromise too much, cave too easily, and water down policies to make them more palatable to conservatives. 
218019	Current economic crisis, yet still funding foreign affairs 
218031	their appearing weak and unwilling to fight the Republican Party on more important issues and seeming lack of a larger plan to better the country in the long term 
218090	false promises, it feels like every election they aim high but fall far below 
218160	abortion policy lack of respect for life and life issues insane border policies insane criminal ideas soft on crime have no moral values 
218236	they are currently the lesser of two evils. 
218284	Do not seem strong or motivated 
218296	chaotic. weak sense of fiscal responsibility, a tendency to pander to specific interest groups. 
218319	excessive spending 
218331	too much of a big party; not dynamic and moving with the times 
218373	A whole list:[CHAR(10)]1. Giving trillions to other countries for war.[CHAR(10)]2. Corrupt[CHAR(10)]3. Open borders [CHAR(10)]4. Promoting trans gender[CHAR(10)]5. Promoting DEI[CHAR(10)]6. Lowering the bar for excellence and competition [CHAR(10)]7. Ultra socialistic and borderline communistic ideologies[CHAR(10)]8. Dis- honest in conducting fair elections 
218379	They seem to argue with each other a lot and [CHAR(10)]They don't move quickly enough to pass good legislation that will help the underprivileged and the disabled. 
218397	immigration issues 
218408	I feel they have been slow in response to domestic and foreign issues and setting priorities. 
218420	socialism tendencies 
218426	immigration views, border security policy, tax policy, disregard for deficit, student loan forgiveness, foreign policy, crypto 
218444	Abortion on demand even at the point of birth and men playing women's sports. 
218563	taxes too high [CHAR(10)]too much government control 
218622	The inefficiency and underdelivering. Trying to get along with conservatives instead of matching the blows the Republicans take. Also their pro-Israel, pro-capitalism and generally pro-jail policies. 
218628	There just in politics for themselves I would just like to know when did they give up on American's. 
218693	too sensitive and I feel they keep people poor by subsidizing them and not giving work . 
218739	Their push on transgender identity and hormone therapy for minors. also their inability to control the border. 
218982	They backed Biden knowing good and well that he needed to step down due to his senility. 
219032	bread and butter policies 
219092	An absolute disregard for the integrity of US borders coupled with potentially bankrupting our social safety system by allowing millions to access Social Security and other benefits regardless of whether they have paid in to said systems. 
219098	everything they stand for 
219104	The push they are taking to try to change us to a socialist society. 
219155	too soft on crime 
219173	su política progresista y dejar nuestros problemas y ocuparse de otras cosas 
219350	their concern for the people 
219373	not doing as they state 
219491	I disagree with many values that are typically held by democrats including politically and socially. 
219556	far left radicals who feel that everyone else is wrong 
219703	how liberal that are and how they want to imbedded it in you 
219709	economic conditions 
219745	lack of gun violence laws[CHAR(10)]weak on the environment [CHAR(10)]lied about college tuition repayment[CHAR(10)]weak on diplomacy with certain countries [CHAR(10)]tries to work with the Republicans, instead of just executing their agenda. 
219841	too much charity, they need to hold people more accountable for their actions 
219853	They make fake media and portray other candidates such as Donald Trump to look bad. They try to win over the people by glazing them up on future plans that they want to hear. But the Democratic party never delivers on their promise. 
219888	deficit - we have to find the right balance between helping people and controlling our deficit. we don’t have unlimited money 
220035	can be too liberal , spends fiscally irresponsible at times with little oversight. 
220059	higher taxes, giving my money to others that don't work 
220088	demasiado populista 
220100	EVERYTHING that they should be doing for. our country. Look at grocery expenses 
220124	
220142	The Democratic Party has become the Socialist party of America. Their leadership is focused on destroying individual liberties and freedoms and filling their own pockets. There are some good people in the Party but the leadership is totally focused on what is right for themselves and the larger cities - to hell with the rest of the country. This is epitomized by Ms. Clinton’s casting most of suburban and rural America Derplorable. What I have to say to her is not printable. 
220171	Socialist/Facist woke party of America. All liars, cheats, criminals. 
220183	I just don't align myself and never have as a democrat 
220220	
220244	they are trying to make it easier and better for all people 
220315	too many dollars are allowed to influence campaigns and elections 
220321	
220327	Not progressive enough. 
220339	Vague suspicions of cover-ups happening. 
220380	they went to far left. I changed my party due to this. 
220428	
220458	Immigration, economy, crime, foreign relations, defense 
220476	Our economy is being ruined, cost of living, taking from the “rich,” i.e people who have worked hard for their money, to give to the poor. I support helping the less fortunate but don’t want to be taxed more when my tax bracket can still barely afford groceries and the cost of living. 
220493	Supports liberal and progressive agenda. 
220661	THERE IS TOO MUCH PARTY REHECTIC 
220760	They are a corrupt ruling class that is destroying our country. They do nothing to stop illegal immigration, and nothing to grow our economy. All they do is lie and call America, “racist.” 
220778	taxes, inflation, border policies, international relations, anti-police 
220813	They should have a stronger stance on banning fracking. Need to support people who have mental illness more. More fun control. 
220819	sometimes to far left on issues 
220882	Handling of the economy 
220922	stance on trans, squatting, immigration 
220960	They are a victim factory. Creating a society of weakness. 
221037	the last answer was what I didn't like about them I misread the question. 
221138	Im a Christian so i don't believe in the gender roles, but all people deserve to be loved so im torn there. 
221180	they misrepresent their stance on issues 
221198	some agendas are certainly to left wing 
221222	There needs to be fiscal responsibility better balanced. There should be fairness in government, but give aways and entitlements should not be encouraged. 
221263	pander more than they take actual action thats noteworthy 
221346	The liberals. Insane policies. They’ve done nothing for veterans. They go against moral principles and biblical principles.[CHAR(10)]They’re crooked and can’t be trusted. 
221358	push to make America confused about gender, for killing babies, and exposing our children to very inappropriate things 
221382	the way they change the rules as they want 
221406	need better options. 
221433	They tend to lack the conviction in candidates or stances that their Republican colleagues have within their party 
221469	spend a lot of money[CHAR(10)]not doing a great job on economy 
221486	They don't stand up to Republicans enough. 
221510	THE DEMOCRATS DO NOT FIGHT AS THE REPUBLICANS DO. THERE IS TOO MUCH LIBERAL CONCERN OFTEN AND THE MEDIA DOES NOT HELP EITHER.[CHAR(10)]LIBERAL COMMENTARY IS SOMETIMES DEFEATING ESTABLISHING RESULTS. 
221522	too far to the liberal left 
221545	Immigration/ border does need to be secure. 
221551	needs more backbone 
221592	not enough moderates and unwillingness to work with other side to negotiate for middle ground. 
221616	Funding of programs for people not willing to work. 
221645	they have allowed the extreme left to take control of the party. John Kennedy would probably convert to Republican if he were alive today. 
221651	very liberal to illegal immigration[CHAR(10)]war in ukrine and isreal and Gaza[CHAR(10)]inflation 
221675	I don’t agree with their liberal values[CHAR(10)] 
221693	democrats do not act in the best interest of national security, the economy, citizen voting, citizen safety, and common sense. 
221704	the money and time they have cost e the people harassing President Donald J Trump when the sitting president has no clue of what happened. 
221722	to damn liberal 
222001	they are all liars 
222018	pro abortion they support abortion 
222124	illegal immigration 
222159	anti gun laws taking rights away from people 
222189	I think there is corruption in both parties but mostly republican. That being said, I would like to see more aggressive action on holding members of both parties accountable for their actions. 
222294	Politicians can be inherently out of touch with the experience of everyday American people, there is such an emphasis on funding which influences the policies they push 
222348	They are pro-police, and they are actively complicit in the genocide in Palestine. They don’t hold up promises of protecting abortion rights or cancelling student debt. They are beholden to corporations and lobbyists. 
222377	lately they have been very radical , seems anti human 
222389	Handling of the border, economy, extreme Marxist agenda and their attitude against those of us who disagree with them. They are to race and gender oriented. Race and gender should not be the only qualifiers for job opportunities and positions. Democrats are against the use of our natural resources, oil, fracking and gas drilling. 
222425	Too far left 
222460	Southern border openness. Abortion position. Blaming Supreme court for any issue they lose. 
222466	(1) Support for the fascist government of Ukraine (2) Support for the apartheid government of Israel (3) Support for immigration that is overwhelming the environment and the infrastructure (4) Excessive spending on unnecessary bureaucracy and programs that contribute to dollar devaluation (5) Allowing transsexual medical prescriptions and procedures to be provided to minors (6) Government censorship and surveillance 
222472	everything they stand for 
222502	misinformation and extreme liberalism 
222535	their policies on immigration 
222541	sometimes lose our way when trying to be over progressive or over centrist. don’t get distracted! 
222547	Their values on abortion, the border and the economy and crime. 
222565	sometimes it has difficulty in making up its mind 
222583	too left on certain issues 
222607	Too woke. Too liberal. Do the the right thing but slow down. Have respect. 
222613	They are more interested in turning America into a 3rd world country and filling their pockets with other peoples money. I tend to think they lie a lot and don’t care that much about their families. 
222619	are not for keeping our country safe. Joe Biden is not a good leader. can’t handle foreign countries for our safety!! 
222631	bad economic policy. poor immigration policy. pushing lgbtq+ ideology on younger people 
222643	Believe that the government can improve people's welfare by spending more. 
222655	Some are not willing to work across party lines. 
222678	they use the media as propagandists and the news media is really news anymore it just talking points the democrats give them. 
222690	Everything because it is all even more dirty 
222702	the short version is that they're doing a good job of destroying this wonderful country that many people have fought for through the years and are also doing a good job of pushing socialism too. Even Franklin Roosevelt was doing this back in the 30's. 
222803	The beliefs on pro-life 
222969	They can do not enough in certain areas 
223044	they have gone to far from Gods law and word that the country was found upon and it is now ok for every wrong thing is right 
223128	they are ruining America 
223152	Crashing economy. Getting rid of middle class to make people depend on the government. Party is in favor of leniency on pedophiles and more! 
223290	too much on spending 
223331	That they act like other parties are totally wrong on every issue. 
223343	very liberal abortion, riots are there thing they love violence and any group to tear down freedom they hate police they love taxes they dont like those who strive successfully, they dont protect Americans and Americans jobs and give away to much money dont take care of vets and they are way to into insider trading and I will stop here 
223361	Democrats don’t get things done. Some lean too hard left 
223385	They've been too complacent in recent years -- not recognizing the extreme danger Trump poses to democracy or not acting on that until recently. 
223432	radical view points - not trust worthy - immigration lacks - don't take care of police or military - weak 
223438	they lie too much and weaponize the government 
223462	A war is going on and Biden is at a beach! 
223468	It is the party that proudly subverts the values that have made America the greatest nation on earth. They work night and day to weaken America. It has become a cancer in this country. 
223480	supporting sex change surgeries for minors, open border policy, anti second amendment, anti free speech 
223497	Economy[CHAR(10)]Border[CHAR(10)]Taxes 
223515	
223533	They are all completely evil. Those that vote Democrat are brainwashed or parasites. 
223572	They need to be more fiscally responsible. 
223577	Milquetoast neoliberal capitalism. 
223618	Their ineffectiveness in getting things done and lack of leadership, lack of diversity in leadership. 
223665	too far to the left[CHAR(10)]always wanting to change processes or policies in order to get what they want [CHAR(10)]allowing illegals to come in just to get votes 
223677	Late term abortions, policies running the country like immigration 
223718	minimum wage increase is shit 
223730	There stand on abortion 
223735	make our country weak. economy,immigration, even standing as a country 
223753	seem incompetent 
223765	What the democratic party stands for now has changed from what it used to be. Unless it has always been lying to everyone since the beginning. It doesn't stand up for Christian values. They don't control the flow of illegal immigrants coming into our country. They aren't vetted properly. There are children coming over here from other countries that are being sexually abused that have came across the border with people that aren't even family members. There are women that have been sold into being sex slaves. Yes, that may have been happening whenever president Trump was president but he did get a hold on things when he was in office and he stopped the flow from coming in. The fentanyl issues have become worse killing more Americans because of this administration that's in the White House now. Everyone has become poorer because of this administration and how they've handled the economy. We give to people coming in while our Veterans suffer. Many on the streets. And, you can't tell me any different because I see it everyday. There are so many people coming in here that don't care if they are accounted for. We have fallen behind with wars popping up all over the world. I stand with Israel and we just insult Netanyahu through this anti-Semitic administration. We are giving money and military equipment to Ukraine, while our social security will take a hit and our defenses are weakened. It ridiculous.... I won't vote for Kamala just because she's a woman. I look at the big picture here. Like I said, you would have to blind, can't and completely dumb to not see what's going on. 
223771	taxes[CHAR(10)]government oversight[CHAR(10)]boarder policy[CHAR(10)]immigration [CHAR(10)]lack of voter I.D. requirement 
223800	their policies and deceit 
223806	woke liberals. ?? 
223812	
223890	I think the democratic party never does anything to make legislation to help Americans despite knowing what Americans want done. This is worse than being dumb to what Americans want in my opinion. 
223967	I just don't feel like they are getting enough done 
224079	any and all woke culture crap. 
224174	They have zero sense when it comes to the actual economy. they think increasing minimum wage is going to help, when in reality what it causes is every single business including grocery stores, restaurants, etc. to increase their prices to accommodate this increase, so it really doesn’t help anyone. 
224287	they’re views on big moral issues are all pretty opposite of mine. 
224316	Very lenient on punishing which increases crimes. It’s like a principal that wants to make everybody happy and nobody hates him or her, but the kids don’t learn and kids go wilder. People know where you stand and take advantage of the situation. 
224322	against their abortion policy 
224340	Democrats stands up for middle class people. And poor people. 
224416	They seem very short sighted and do not always have a sense of urgency. Poor cohesive messaging. 
224422	Some members of the party are going too far to the left, specially about economic policies and social benefits. 
224475	need to be more full throated in the distinction of what can and cannot be done with divided government in this current environment. Having the White House is not enough. Need to also hit harder about greed-flation. immigration policy is lacking, but again, cannot do much without the house and senate. 
224575	They need to get on the same page and stand together 
224622	The support for illegal immigrants, criminals, defunding law enforcement etc... 
224628	The current administration (Biden/Harris) appear to be puppets to their supporters rather than leaders. 
224634	penalizing those who are successful to pay for those who don’t work 
224669	all are liars 
224734	I agree with very few issues contained in the democratic platform 
224739	they are to liberal for me on many issues but I am for them on the reproductive rights of women 
224745	financial and international policy 
224800	Being a moderate, I feel that they lean to the left a bit too much at times. I don't really like extremes, right or left. They can be a bit over board on government spending, though it's a delicate balance between too little and too much. I am a government contractor and I see the waste everyday, though not all on the democrats. 
224841	They seem intent on fighting a war 
224853	Their unwavering support for Israel when it comes to Gaza. 
224882	They need to rise to occasion and do more to crush Trump and his MAGA shit heads. 
224906	I'm going to answer the same for BOTH parties. I do not like the divide and agitation that has occurred in our country over politics. I can understand difference in opinions on policies and ways of governing. I cannot understand or agree with this emotional upheaval over likes & dislikes of our candidate's personalities. It's become a personality contest. On social media or even the news, I don't often hear about the policies being discussed and how they will affect our country for good or bad. I hear more about the dogs and cats being eaten in Springfield or about Kamala's laugh or her accents. I don't vote based on someone's personality, I vote on the policy proposals and whether or not they will change our country for good. My concern is how people will react after the election no matter who gets voted in. 
224918	most of the policys 
224959	Their senate leader is Sen. Chuck Stupid, a self-hating Jew who does not support Israel and showed zero respect for Mr. Trump when we was our president.[CHAR(10)]Much too left-leaning[CHAR(10)]The democrats are the ive-way party 
224976	easy on crime, too much immigration 
224982	their policies and how the VP was appointed as the nominee with no party election 
224994	no me gusta su prisión ante el aborto, no me gusta su política internacional, no me gusta su camino al socialismo. entre otros cosas 
225000	everything; the democratic party is responsible for so many wrong doings in this country. Liars, cheaters and have no moral compass 
225012	I thought that I answered this question in the last frame. 
225029	policy positions 
225035	immigration, economy, trying to pack the Supreme Court, defund the police 
225159	I live in a deep red state and it feels like they have given up. 
225195	I dislike everything 
225290	the lies and deception 
225426	Staunch support of Israel, weak leadership in congress, inability to unify around issues, and refusal to capitalize on the most valuable demographics. 
225526	speak first, act later 
225538	Socialist agenda.[CHAR(10)]Open borders.[CHAR(10)]Crime policy.[CHAR(10)]Elitist. 
225550	Party needs to relate to its base 
225580	EVERYTHING. THEY ARE RUINING OUR GREAT COUNTRY. THEY ARE LETTING DRAG QUEENS READ TO OUR SMALL CHILDERN AND PERFORM, BUT YET THEY ARE BANNING HALF OF THE BOOKS THAT WE ALL GREW UP READING. THEY HAVE OPEN BOARDERS AND CRIMINALS ARE FLOCKING INTO OUR COUNTRY AND KILLING, ROBBING AND RAPING INNOCENT PEOPLE. THEY GO SOFT ON THAT CRIME. THEY LET BLM BURN OUR CITIES AND THOUGHT IT WAS OKAY AND THEY SHOULD CONTINUE. THEY HAVE THEY WORST INFLATION EVER AND PEOPLE CAN'T EVEN AFFORD FOOD FOR THEIR FAMILIES. THEY HAVE CUT OUR OIL AND FOSSIL FUELS AND WE ARE NO LONGER SELF SUFFICIENT. CLIMATE CHANGE AND GLOBAL WARMING ARE JUST WAYS FOR THEM TO MAKE MORE MONEY. AND THEY DO NOTHING ABOUT OUR BOARDER OUR COUNTRY AND OUR CITIZENS, BUT SEND BILLIONS TO OTHER COUNTRIES OF OUR TAX DOLLARS AND CONTINUE TO TAX US OUT OF OUR HOMES AND INTO POVERTY. 
225652	Many times “special circumstances “ gets taken too far and hard working people are penalized so that people who don’t work are handed things. 
225658	Those who go to extremes in these measures without balance or big-picture thinking; failure to relate to middle America 
225664	terrible policies that are ruining economy, too much overreach, refuse to collaborate, we need to shut down illegal immigration. 
225699	They want to spend other people’s money for what THEY WANT. They are destroying the environment and the economy in ways that benefit their wants today. 
225800	Everything they currently stand for. 
225805	abortion and taxes that they try to impose. Bad economy 
225817	In the past the Democrats loved this country. Then I could say they loved this country. Today I firmly believe that many leaders, including VP Harris, do not. They have expressed disdain for the US and want to move towards a more unified world government where a relatively small group control the actions, behavior and beliefs of all. Orwellian 
225835	screwed up our country 
225847	not very forceful[CHAR(10)]on the issues 
225876	the democrats don’t care about anything but power and money. they are pure evil 
225894	they are destroying the values of this country 
225900	Liberal logic, open borders, abortions economic issues 
225924	How they are helping the Americans 
225936	I think they should show some balls and call trump out every time he lies 
225972	immigration - I'm very frustrated that neither party is willing to work together to come up with a solution 
225984	too liberal with immigration and criminal 
226007	too radical, their destroying this country 
226061	Lack of coherent immigration policy, forgiveness of student loans, too much foreign aid and involvement (that goes for the Republicans as well) 
226102	The fact that democrats are mostly trying to destroy America and our way of life. 
226120	Fiscally irresponsible. 
226203	no morals, or, ethics in place for many, many years cost this country billions of Americans dollars 
226274	They need to be more moderate. 
226513	irrational ideology 
226537	taxes 
226791	The change from Biden to Harris as a Democratic nominee showcase in real time, concentrated level of control that the Democratic Party holds over its members. [CHAR(10)][CHAR(10)]The DNC pushed a candidate through without allowing its members the opportunity to cast their vote. 
226838	views not based on bible 
226897	they are fake and trying to take every right we have away from us. 
226927	woke, push their own personal beliefs on people, discriminates against a particular group, or groups if you don’t believe their beliefs. they do not live in reality but a fantasy world or maybe a celebrity world where money is free, border does not need to be protected , all people are nice and loving in America and around the world, think there is no terrorist threats. The Democratic Party has no real idea how true, hard working regular American citizen live day to day, it’s a joke and an embarrassment to this country! there is no accountability anymore, give out money to everyone and everybody but not the hard working Americans with jobs who actually working ten to twelve hours a day just to support their families and legal American citizens . then want to take away the rights to guns so families can’t protect theme self. Has the Democratic Party every stopped and thought for one minute why the Mexican government and cartels are freely letting and allowing people from their country to freely enter America with no strings attached, no Mexican military holding the people back or blocking people from crossing the border. all the people leaving, crossing over to America you would think they would be loosing money and people in their country. why would they allow that? Democratic Party is setting up America to be a communist country, allowing the citizens to become sitting ducks who can not financially support their families , or defend own families if need too. Eventually American citizens will need to seek asylum in another country. The American dream is vanishing for hardworking , middle class, American citizens and their families!! Our son is a first generation college graduate in our family . we are a middle class family, have been working our entire life sometimes two jobs just to provide for our family. our son’s college major was offered at a private college he attended a private college, His parents are married, still alive , no handicaps , no diversity , middle class annual salary. he graduated with college debt for him and his family over [REDACTED] bc he did not meet the above criteria. Democratic Party is not for all people, all races, culture, of ALL backgrounds, all religions, ALL citizens regardless of beliefs , they only support a small, narrow group, only help a small narrow group . The richer get richer, the poorer get middle class, the middle class get NOTHING! 
227014	They have a huge problem agreeing on solutions and go in different directions! 
227032	Villifies any thought that doesnt support the democratic party to the extreme. Uses the viel of political correctness to hide from any criticism when they themselves have a history of bigotry and hatred. 
227062	economic stances 
227068	 The party has become pro war totalitarian socialistic Globalist. 
227091	try to solve issues by spending tax dollars, their programs are failures, open borders to gain votes from illegals, treating illegals better than our poor, homeless & veterans who are US citizens, conspiracies to detract/gain upper hand, lack of transparency, selective justice, weak economy & loss of our standing on the world stage. 
227103	their liberal policies 
227115	The taxes have been higher under the Democratic party. 
227121	They don't care about any of the people in the US. They give lip service to groups of people but never actually do anything. 
227127	their financial policies 
227133	their policies on immigration and crime 
227151	Their continual breakdown of the nuclear family. The continuous lies spread via the media. Don't believe in free speech, want to limit our constitutional rights, support the DEI, LGBT, and woke agendas, their firm stance on abortion, their intentional disruption of our border. Etc 
227198	Their stance on abortion, economics, border and crime 
227210	taxes and gun control 
227258	Disagree with cutting back spending on military and police forces, disagree with their shutting down oil drilling in US, Disagree with open border policies, disagree that the economy has improved under the democrats over the last three and half years, disagree with recognizing genders other than man & woman. 
227459	not party I grew up with was always a democrat until last four years. they are too liberal , spend like drunken sailors, violate immigration laws, allow riots ,stealing shop lifting,Biden does too many presidential by passing of congress etc 
227584	We can barely afford to live, we don't secure the borders 
227647	wanting to general regulate everything more and for the government to be more heavily involved. 
227659	can be a little extreme 
227677	i think they’re[CHAR(10)]almost all puppets 
227694	too liberal. We need to Take care of the residence that are in the states rather than the legal immigrants thus thing has spiraled out of control 
227712	very un patriotic and pushing agenda 
227724	Gun control, too much funding for social welfare, less immigration laws and worker rights 
227730	they have also gone too far left and are often unwilling to compromise 
227741	Using the court system for revenge, no attempt to course correct the economy, core values deviating away from those of the average American. 
227771	Pretending to care about leftist views even though they don't act on supporting them 
227789	they keep everyone on government handouts so they can keep getting reelected. 
227795	that it is pro choice 
227806	take things for granted 
227842	very left leaning, liberal ideology infiltrating the party, eg men participating in women’s sports, using women’s bathrooms etc. the ideal to uphold women’s rights has been thrown out the window in exchange for protecting a man’s right to want to be a woman - it’s bizarre to see this happen in a party that has had two female presidential candidates 
227854	abortion policies 
227877	The massive disporate coalition doesn't agree on much. 
227895	abortion stance. abortion is just plain wrong. glad my parents felt the same way 
227913	they are a bunch of globalist scum hurting Americans and corrupting and indoctrinating our children to their gay agenda. they believe in murdering babies up to birth. they opened our country to illegals from everywhere to kill is and rape our children some are not good people they did not even vet them. DEMONRATS are globalist communist scum 
227978	Bad foreign relations. Bad border control. Bad covid policies. Won’t differentiate between man and woman. let kids chooses their own gender while they still believe in Santa clause. 
228025	
228042	current Democratic Party seems weak 
228108	Do not care for the far left democrats 
228137	they are for abortion, higher taxes, and sending money to other countries before fixing our own. They want mass immigration, destruction of cities and deterioration of religion. 
228143	They keep printing money 
228167	immigration and abortion platforms 
228197	Although both sides can be stubborn, the democrats seem to dig in deeper and not willing to compromise as much in my opinion. [CHAR(10)] 
228203	border policy they allow open botder 
228214	Abortion policies, national debt policies, open boarders, fuel prices 
228220	Too liberal, bad border policy, bad economic policy. 
228250	Socialist. Marxist. Communist. 
228280	to liberal, immigration issues, abortion 
228303	PROTECTING UNBORN RIGHTS 
228339	Tax and spend, Government control, no accountability. Chuck Schumer. 
228351	transgender issue ls of letting men play women’s sports[CHAR(10)]foreign policy [CHAR(10)]economic policy [CHAR(10)]immigration policy 
228416	where they stand on killing unborn babies 
228545	Socialism, green energy without infrastructure, abortion, and gun rights 
228622	everything they do 
228627	a shit show, circus 
228751	they are not in control of their own party .And didn't replace Biden when he need to be.He was struggling and they didn't care they let him embarrass his self in office.They didn't take him out before his memory failed.In my eyes that a form of elder abuse.I work with the elderly and that really made me loose faith in them 
228791	While I'm not a gun owner, I'm not very fond of the Gun Control policies proposed by many Democrats. My only issue with guns is the private sales loophole.[CHAR(10)][CHAR(10)]I also feel like Democrats are not doing enough to lower the cost of living or housing prices. The Inflation Reduction Act was a start, but I believe more needs to be done. [CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)] 
228962	crime, economy, sexual indoctrination 
228980	following an elite status no matter the given subject 
228991	catering to the progressive side of the party too much. 
229003	they just feel like janitors, there’s not enough being proactive. 
229027	I don’t like the Democratic Party because they are against my values. they support abortion which I’m against, higher taxes, socialism in a bad way, calling people they don’t like racist, and also going against tradition. even though I disagree with there policies I respect them as human beings 
229115	They are too liberal and wasteful. 
229126	Just in general the way they run the United States and how they are down with abortions and how the economy has dropped and how everything has gotten so expensive! 
229144	they are anti American...selling us out to China ....trying to take away our rights .... lining their pockets and giving our money away to other countries 
229150	they don’t care about the constitution! 
229173	trans kids, keep allowing and passing laws that dont help kids they dont want Epstein little black book out 
229185	they are too liberal. giving away things that the hard working people work for. 
229248	i feel as if the democratic party is to lenient with almost every important topic this country is facing. i get the idea that its every ma'am/ man for himself 
229259	does not oppose crazy republican ideas strongly enough. 
229289	They act like a bunch of spoiled brats, we elect them in office and they forget why they are there! They remind me of a bunch of 3 year old kids! 
229301	how irrelevant some of their rabbit hole ideas are 
229319	They are pretty much all big government socialist. 
229325	Economics. High prices for housing, groceries, everyday expenses, healthcare cost. 
229348	Do not agree with their policies. Do not agree with election fraud. Do not agree with going “woke”. 
229396	Their liars, power hungry, self-serving, egotistical. NOT FOR COMMON PEOPLE!!! 
229401	they are all about power and don’t care about the working American 
229446	fiscal policies, international relationships 
229493	aw shoot I put the wrong answer in for the last one lol weak military. immigrants wasting our tax money 
229511	very extreme in what they believe 
229606	project 2025 is just scary 
229630	their political beliefs 
229724	their policy’s 
229771	This woke bullshit 
229812	everything except that they are union friendly 
229817	unable and unwilling to work with republicans and help the American people 
229829	Gun Rights[CHAR(10)]Economy plans[CHAR(10)]border control 
229834	almost everything they represent 
229851	They want too much government involvement. 
229857	they don’t like keep their word and just destroy the economy 
229898	It’s all theatre 
229957	
230004	used by the democrat party leaders especially black Americans [CHAR(10)]they are borrow and spend like there is no tomorrow 
230033	stance on abortion, liberals, gun control, border control 
230045	Their use of the media to subvert elections. 
230057	the way they think raising prices and always talking about helping the lower and middle class and don’t. 
230069	Too liberal, extreme 
230086	everything about them 
230098	stance on spending 
230116	immigration, economy, illegal immigration. open borders. police support armed forces support 
230157	They have ruined our country by opening the boarder to 30+ Million criminal illegal aliens soon to be MORE. 
230186	to liberal, they are not strong enough on border issues, international affairs, reproductive rights 
230238	I don't like that the Democratic party pushes for gun bans, instead of tightening restrictions on who can own them. 
230261	They need to be more aggressive 
230267	Power by any means necessary. Radical wing has taken over.Seems that elitist and power players running their agenda and it doesn't adhere to my beliefs. 
230302	their policies have gone to woke 
230337	I do not like the way the party seems to only be run by a handful of people. it seems to be their way or no way. 
230355	All socialist going in the wrong direction 
230396	All the lies politicians tell, poor policy, no accountability or responsibility. 
230402	the older generation wants to hang on to power and enrich themselves - the new generation are educated to be Marxists and want Americans to embrace the idea - own nothing and be happy 
230414	They leave US Citizens overseas in terrible situations. 
230420	I don't like to see our country turn against what I believe are Bible truths and the Democratic Party is becoming very liberal. It is not the same Party it used to be! 
230449	They trend toward self over God and nothing good comes from that. 
230455	They are running this country into the ground. 
230597	I don't like that they try to legislate government forcibly onto private companies. What I mean by this is not that I have a problem with anti-discrimination laws with regards to hiring but that a company, being a private entity, need not be legislated into doing business that is at odds with the business purposes and beliefs of the owners, even if it is conventionally agreed upon that said practices might be detrimental to the survival of the business. 
230667	The inflation rate is very high. 
230679	everything, they are destroying this country day by day and hate the USA 
230708	They took God out of the plat form 
230751	Their handling of immigration, excessive costly programs that don't seem to help. Extremest in the party pressing for Socialism. 
230798	They do not take action against any crisis and can’t even give us comfort through verbiage. Incompetent at their job. Does not care about the American people or Economy. 
230810	too liberal 
230856	they take all our money . for there own interest.and screw the American people.and they become millionaires 
230868	It's no longer genuine improvement of people. it's all back pocket deals 
230878	equity over equality[CHAR(10)]DEI 
230972	tax system and minimum wage increases 
230978	The way they have handled the economy and immigrants 
230984	inflation/ high interest rates/ low pay 
230995	to all democrats members [CHAR(10)][CHAR(10)]you all not doing you job right[CHAR(10)]wtf …. 
231001	needs find a better balance between moderate and liberal 
231025	I don’t like the politics 
231031	They are soft on crime unless it helps them politically. They seem to believe abortion is a form of birth control. 
