V240001	V241176 - PRE: What does R dislike about the Republican party [text]
218031	their apparent claiming to be a Christian forward party but choosing policies that appear very un-Christian 
218037	Members of the Republican Party often seem to behave in a way that prioritizes posturing and bickering rather than engaging in productive discussion. This seems to be true whether they are engaging with Republicans or with Democrats. They also seem to focus more on belittling individuals and groups of people instead of on larger issues such as economics and education. 
218066	Project 2025 and most of their policies. 
218090	extremely conservative policies that eliminate autonomy, also policies that only benefit the rich 
218160	not enough backbone at timrs 
218166	It doesn’t support abortion rights 
218236	they are positioning themselves under the 2025 plan to remove democracy from the US. 
218284	they are to far right on Religion, abortion, gun control and imagration 
218296	Domination by the Christian right on social and cultural issues ( and Israel); overly tied to corporate interests on tax and regulatory policy and climate change; capitulation to the MAGA cult. 
218319	social issues positions 
218331	current Republican Party taken over by trumpism 
218349	Desire to interfere with personal freedoms. 
218373	the few who are ultra conservative 
218379	It's all about the money. They're blocking DEI which can help America. They want a world where everyone fends for themselves, even though some of us can't pull ourselves can't pull ourselves up by our bootstraps because they're broken. 
218397	Abortion position 
218408	I think they fail to separate church and state and have encourages grassroots movements counter productive to democracy. 
218414	The are scared of Trump, against medical benefits for the uninsured, they don't understand Trump led to the mess at the Mexican border, and anti-choice. 
218420	abortion position 
218426	spend too much $, doesn’t care about deficit, negative attitude towards gays, abortion stance 
218444	Members often don't work well together. 
218450	Bowing to TRUMP 
218551	their current support of Trump, activities that transpired on Jan 6, their need to want to take away control of women’s rights forcing religion in schools 
218563	abortion policy 
218622	Pro-life, capitalism, anti-social support, pro-incarnation. Hypocrisy and overreaching on personal rights on minoritized people. The fact they only actually improve rich peoples lives through dumb economic policies. Generally how harmful and short sighted they are. The climate denial 
218657	they can be racist 
218681	they are for the people? 
218693	their abortion policy 
218739	Their lack of thought in the government and their biblical approach to everything. 
218787	VERY OLD FASHIONED, BIGOTED, ONE-WAY OF DOING THINGS 
218847	they wont agree to get issues solved 
218935	too many Racist people 
219000	direction of their plans for women and birth rights 
219014	lack of integrity their use religion 
219032	isolationist tendency 
219050	jobs and low taxes 
219056	The party is extremist 
219092	They have continuously allowed the military/industrial complex to loot the treasury. 
219098	they need to stand up to the corrupt media and democrats 
219104	The Republican party needs to try harder to counter the things the dems are doing to control and force Americans to do things the Democrat party wants not what we want to do in what is supposed to be a free country 
219155	sorry. make a mistake on previous answer about what I like about democrat party. They support gun control and abortion right. what I like about Republic is that they are more tough on crime. 
219173	que se ha demorado en toma decisiones y soluciones a problemas 
219303	don’t agree with a lot of the values 
219709	negative energy 
219745	gun laws[CHAR(10)]abortion laws[CHAR(10)]not inculsives[CHAR(10)]only for upper class[CHAR(10)]hates any public assistance [CHAR(10)]they're hypocrites[CHAR(10)]hate the environment 
219776	It’s the good ole boy club 
219835	Their decisions on immigrants. 
219841	They are not sensitive to middle class, and low income individuals. In my state the minimum wage is still $7.25 how can we even compare to the increased cost of living 
219888	Things have shifted too far to the right and is a cult for Trump. They are only interested in not letting the other side get a win and therefore are not doing their job of legislating 
219900	we need abortion rights! 
220035	the way the party uses conservative hristian view , the united states is a country built on immigrants . find the party is not for all the people, it is too narrow minded. 
220059	far right, extremism, 
220088	Volver a elegir a un candidato que dividio al país 
220142	The inability to compromise and or reach a consensus. The inability to give the country a decent candidate for the top Executive Branch office. 
220171	Too easily controlled by deep state fanatics, money, and back door deals with democrats. 
220220	plenty definitely how they treat poor and people of color 
220244	they don't care about the people, it's all about the rich and what they can put in their bank account. they are not about working people 
220262	Cutting tax policy on the wealthy and corporations. Trickle down theory does not work for the middle class. 
220274	There lack of compassion 
220279	everything 
220303	Financial irresponsibility and embrace of fascism. They accomplish next to nothing legislatively. 
220315	too much focus on the wealthy getting more wealthy and having more power, currently letting the influence of Trump rule everything, 40 years of trying to gain all the power in all the branches of government so as to have rule by the minority, obstructionism in US Congress causing an absence of collaboration and compromise. 
220321	I feel it has lost it's way with leaders who don't align to my philosophy. Conservatism has now digressed to fear of others not like themselves. 
220327	Backwards thinking and a fear mongering party. 
220339	I don’t like their stances on abortion, immigration, and the death penalty. 
220380	some of their policies. 
220428	
220458	Poor negotiations vs Democrats 
220464	Donald Trump. The supreme court. presidential immunity. 
220493	Don't follow through on all it's promises. 
220508	El congreso republicano no se pone de acuerdo. quieren quitar el seguro de Obama Care. 
220631	Lack of coherent body that stands together when voting on bills. 
220661	THEY SEEMED TO BE RACIST 
220702	It seems to based it policy on whatever the opposite of what the Democratic party favors without regard of merit. It is truly the arty of No 
220760	I wish they would show some spine and stop allowing the left to destroy our country, our education, our economy, etc. 
220813	Women’s reproductive rights, support of renewable energy needs to increase, support freedom of Ukraine, and ban of automatic weapons. 
220819	They have lost their backbone and follow Trump to the determent on the Country. Their positions are some issues are completely out of step with the the majority of US citizens. 
220882	Trump’s orange tiny hands 
220922	trump. way too far right. can’t see how any reasonable person endorses him 
220984	they are unfair and if you are not wealthy you have no chance for suscess with them as your leader 
221037	Anti choice with abortion, anti-lgbt rights, very manipulative of their voters, fueled by hatred, seemingly entirely controlled by Trump, anti-public services (public healthcare, public education, etc...), far right, pro capitalist, lies a lot, very xenophobic, wants to put religion into the government/doesn't respect separation of the state, not environmentally friendly, and many more things. 
221067	they’re going to bring Project 2025 if they get elected, and I disagree with all their proposed actions. also, they’re not trying to abolish all the conspiracies and lies their people are believing 
221073	There is NO Republican Party - it has been taken over by MAGA. 
221138	They seem to have one sided views of people are not in their social, economical, or race 
221180	they allow media and news sites to soft peddle issues in the Democratic party 
221186	racist people mainly 
221198	yes to many right wing policies, the country needs a balance between the left and the right.[CHAR(10)][CHAR(10)]we don’t need someone who would like to be a aristocrat /dictator 
221210	allegiance to Trump 
221263	only care about the rich getting rich, run the country like its a for profit business 
221311	their support for Donald Trump despite his insurrection and giving excuses for him 
221346	yes, They don’t stick together. And many of them have no backbone. 
221358	obnoxious and embarrassing representation 
221406	party over country 
221433	Their perspectives on fiscal conservativism tend to ultimately only benefit those who have already amassed a particular amount of money and power. 
221445	They are catering for the rich only and don't care about poor struggling people 
221469	removing abortion right[CHAR(10)]they are beholden to Donald trump 
221474	They masquerade as onservative to attrach everyday people. This is not the original republican party of hardworking conservatives. This party supports dangerous persons such as christian nationalists and greedy billionaires. They are appealing to people with culture war topics to distract from their actions. It is so sad to see so many people attracted to that. 
221486	They want to win at all costs to further their platform even if it means doing something that is detrimental to our country. 
221492	THEY HAVE NOT DONE ANYTHING ABOUT THE AUTOMATIC WEAPONS AND HOW EASY IT IS TO BUY A GUNS. 
221522	abortion[CHAR(10)]taxation[CHAR(10)]lack of character[CHAR(10)]lack of common sense 
221545	liars and hypocrites 
221551	snakes they are 
221569	the way Donald trump made into the mess it is today. the people that call themselves Christians but have no respect or tolerance. also violent 
221586	they let Trump take over the Party, he drove out all the decent ones, and he’s an idiot who has no original ideas outside of his own brand and he sucks, it’s sad that a Party was so weak that it allowed hour to do that. of course, these same dipshits let Joe McCarthy do the same thing on the 50s 
221610	Views on abortion, taxes on the wealthy, and lack of interest in the middle class. 
221616	Involvement in personal decisions. 
221651	Trump is disrespectful of others[CHAR(10)]Abortion laws[CHAR(10)]hypocrisy [CHAR(10)]middle class are ignored 
221675	Some of them are becoming too extreme and I don't appreciate politicizing Covid, masks, etc. 
221693	Rinos who are Republican in name only. 
221698	they could do more to right the wrong in our country 
221792	The people who subscribe to the party. It's rare for me to hear anyone say they're a Democrat but the Republicans will tell you before you know their name. Maybe in a different time they were better, but as it is now the Republican party is rotten. The Democrats are incompetent. 
221869	No support of women’s rights or the lgbtq community. Supporting of Donald Trump. Don’t believe in gun reform. 
222001	they all lie and i have no intention of voting for either party 
222018	tend to support war 
222107	lots of laws and things spoken about are largely race based. the party is extremely vulgar, racist and intolerant towards people who don’t fit their ideology. 
222159	anti abortion laws. women have rights to their own bodies 
222189	Stance on abortion, climate change, support of criminals. 
222294	General desire to maintain the status quo and lack of interest in uplifting those who do not hold privileged identities and lived experiences, black and white thinking, lack of criticality 
222300	Mr. Trump.A lot of cowards. Want stand up to Mr. Trump. 
222306	their stance on abortion 
222348	They are anti-abortion and pro-police. Their policy and rhetoric seems to be trending toward christian nationalism. They are attacking the freedoms of LGBT people, they are attacking the education system, and they are waging war on the working class. 
222460	They aligned with Donald Trump too early in the election process. 
222466	(1) Hypocrisy (2) Claiming to be against immigration while working with businesses to bring in foreign labor to suppress domestic salaries and wages (3) Claiming to be fiscal conservatives while supporting foreign aid (4) Claiming to defend Christian values while working with Zionists to end freedom of assembly, religion, and speech (5) Claiming to defend America from its enemies while directly antagonizing foreign nuclear powers 
222541	racist, overtly religious/ weaponize religion 
222565	it is obstructive; not inclusive; prejudiced; too focused on Christian Nationalism; ignores Constitution;focused on self and how the country can serve it; not open to new ideas. Backward focused on grievances, not looking positively to future 
222583	trumps character and actions 
222589	They support Donald Trump even though a lot of them don’t like him for their own self interest. If they banned together and opposed him, I believe that it would influence a lot of his supporters to not support him either. 
222607	It is a cult, controlled by one man. Sounds extreme, except it is true. 
222613	I think they don’t work well together sometimes. They don’t show strength when necessary. They let the Democrats run over them. They don’t fight back. 
222643	Gotten away from their traditional fiscal conservative, strong military preferences into outlandish statements and positions. And catering to the crazy Trump 
222655	They seem to just like to keep themselves in the news and name call the other side rather than seek partisan efforts to get stuff done. 
222690	Everything because it is all dirty! 
222969	They prioritize harmful policies for LGBT and BIPOC communities 
223044	I feel they do not help the poor and they look at the poor and the working class as not important to help and I think the government as a whole is out of touch of everyday life that Americans live and how hard it is for us to survive off of the wages we make and the rising costs of everything 
223183	theybdo not care about the little people 
223195	there always against middle class people 
223290	seems aggressive 
223331	That they act like the other parties are totally wrong on all issues. 
223361	lack of compassion 
223385	Many members have no courage to stand for their own principles or beliefs, but are simply following Donald Trump. 
223432	gun control laws no harsh enough 
223468	Too many politicians that refuse to stand up for their values for political gain. 
223480	they can be a little strong headed and too hateful some times 
223497	Unification within the party 
223533	Too many are in bed with the democrats. 
223572	They have lost their way and forgotten who they are. They are now the Trumpublican Party and bend completely to his will. 
223577	All the policy. Authoritarian, fascist, actively hostile to the impoverished, immigrants and women. 
223601	Why give a tax break to rich people? Why insult people? Where is his compassion? 
223618	Their disrespect for women and their right to choose for themselves, lack of investment in marginalized communities, lack of investment in education, harsh policies towards undocumented immigrants. 
223659	Too many Right wingers wearing a red hat made in China listening to Trump they have become a cult just like the KKK 
223671	don’t tell the truth 
223735	abortion , I think it is too broad there are circumstances that abortion needs to be an option for 
223753	too extreme; too fearful of things that aren’t happening; out of touch with reality 
223812	I meant no. Don't know how to go back. 
223890	Their incessant need to take this country to a theocratic government when we were founded on religious freedom. Additionally, I don’t mind older ideologies of the republican party but the introduction of “MAGA” into the party has brought them so far from “fiscal conservatism” that they no longer stand for their own political ideologies. 
223985	greed. they like to take a away a lot of benefits like health care and so on. 
224056	Disrespect of the black race in general 
224079	too reliant on the Bible for moral oversight 
224174	Abortion and birth control laws are outrageous. 
224287	The want for a complete border shutdown everywhere is pretty harsh in my opinion. Although I do agree that illegal immigration is not a good thing, I understand why immigrants do it illegally because the legal route is soooo tedious and difficult. 
224316	I like the Republicans but I don’t like Donald Trump. 
224322	seem to care more about making other side look bad instead of their own policies 
224340	Republicans oppose government regulations. I think the goverment should be regulated. 
224416	We were registered Republicans until 2008 and MAGA has now hijacked the party. They are embracing Christian Nationalism and appear to be worshipping Donald Trump. It is un-American to ban books and strip rights away from minority populations both racially and sexual orientation. They are anti-abortion which is health care and dangerous. Project 25. 
224422	The party has lost its direction under Donald Trump. They are presenting political issues to the public more like a reality show than addressing real concerns 
224463	donald Trump is a despicable person 
224475	Lack of a consistent ideological position. All the divisive language, attacking women, minorities, and immigrants. Denial of climate change, 
224534	following the orange man. only about power. no substance 
224557	Policies affecting women and choice. 
224575	they all stand for Trump. They should have found a better person to run for President 
224628	While it is not so much the party as it is the spokesperson's delivery of his message. 
224634	abortion stance 
224734	Need to be more concerned about debt; stronger prolife positions 
224739	reproductive rights because I am pro choice 
224745	social policies... i tend to be more liberal 
224782	freedom for all 
224800	I am not sure what the question was...I had to leave and I came back here. 
224841	I do not agree with their religious views, stance on abortion, gun ownership and stance on LGBTQ+ rights. 
224847	Clicks[CHAR(10)]Unfairness [CHAR(10)]Only care about themselves 
224853	They just don’t seem to care about human rights and the welfare of the people. More concerned about making money for large corporations and lobbyists. 
224876	abortion rhetoric 
224882	They are only interested in themselves. They don't represent the will of the people. 
224906	I'm going to answer the same for BOTH parties. I do not like the divide and agitation that has occurred in our country over politics. I can understand difference in opinions on policies and ways of governing. I cannot understand or agree with this emotional upheaval over likes & dislikes of our candidate's personalities. It's become a personality contest. On social media or even the news, I don't often hear about the policies being discussed and how they will affect our country for good or bad. I hear more about the dogs and cats being eaten in Springfield or about Kamala's laugh or her accents. I don't vote based on someone's personality, I vote on the policy proposals and whether or not they will change our country for good. My concern is how people will react after the election no matter who gets voted in. 
224959	They don't want to work with the democrats and cross the aisle to get things done 
224976	Don't believe climate change is real, too many guns, too restrictive on abortions 
224994	division entre algunos políticos 
225012	Need to work within their party for better solutions. 
225029	excessive position in National affairs 
225035	against legalization of marijuana, I’m ok with an assault rifle ban 
225159	It feels like it is all about protecting white people and their wealth. 
225426	Hypocrisy, refusal to regulate, constant placation of big businesses, lack of understanding how to run a government agency, corruption, theocratic leanings and outright support at times, cult of personality, leaning more towards fascism recently, denial of human rights and individual liberties, refuse to follow the warning of scientists and the advice of people smarter than them, refusal to leave behind certain beliefs that are dated and damaging to the country. 
225526	baseless mindless misinformed mania 
225550	Party is being pushed around by confused leaders 
225616	maybe just their untrustworthiness 
225634	WAR ON WOMEN'S RIGHTS AND GAY RIGHTS. TAX BREAKS FOR THE WEALTHY. BENT TOWARD DICTATORSHIP AND FASCISM. TOTALLY UNCONTROLLED MAGAS. 
225658	Stances on social issues 
225664	there are some fake rinos that aren’t true to the cause. 
225699	Authoritarianism, lack of empathy, racism, misogyny, greed. 
225717	they always allowed to cheat elections and we don't like that 
225817	Often the fear to fight for our rights. 
225876	many of them are cowards and are just as evil as the democrats 
225894	lack of unification 
225936	all they do is follow trump 
225972	limiting women's reproductive rights; I sense a bait and switch when it comes to lower taxes for the middle class; lowering taxes on the rich - everyone should pay their fair share; limited Christian stance when this country is much more diverse than that 
225984	they don’t support Ukraine 
225990	Their abortion ban 
226007	too soft, no guts most of the time 
226055	They think Trump is the greatest in spite of his beliefs. 
226061	Abortion policy, continuing to lower taxes while growing the deficit, draconian voting policies, dishonest about climate change 
226102	RINOS Those who are republican in name only. Liberals in disguise. 
226120	Dont stand strong enough in their beliefs. 
226185	gun policy, abortion and women’s rights 
226232	what they stand for and they don’t have true values they don’t but America first 
226274	They are uncompromising. Favoritism towards the wealthy. They have short term memories because they don't seem to remember the January 6th Insurrection. 
226513	irrational ideology 
226537	abortion laws and female rights 
226632	They support a criminal like Trump 
226638	They don’t fight for the middle class 
226673	republicans are out for themselves not the American people the rich keep getting richer. And the poor keep getting poor and the middle-class are going to be the poor class soon. 
226791	it is controlled in the same way. The Democratic Party is controlled.[CHAR(10)][CHAR(10)]The Republican party pushes massive government spending just like the Democratic Party only within the Republican Party. The spending is for “conservative items”. [CHAR(10)][CHAR(10)]The party as a whole is very[CHAR(10)]disunited, unlike the Democratic Party, which historically has been highly cohesive. 
226997	not good for the working people, bad environmental policies, party of division and grievance, not inclusive 
227014	They weaponized politics and don't care who they hurt, step on, and have no idea about foreign policy! They also are lost in domestic policy as well!! 
227032	Adpoted a social platform that tolerates public rasicm, anti-lgbtq+ bigotry, and supports nationalist hate groups. 
227044	Presently a cult without regard to morals or democracy. 
227062	Where I don’t personally agree with abortion, I do think that women should have a right to choose 
227068	To many career politicians corruption self interest. 
227103	lack of courage and backbone to represent their constituents 
227115	It has become extremely whitewashed and made to mainly benefit the radical Christians and white males with money. 
227121	They never take a stand on issues that the run on 
227127	it seems like they’ve become a cult following Donald Trump 
227133	they are getting soft on abortion 
227145	The stablishment republicans and RINOs. 
227151	Some republicans pander to the Democrats and that number continues to grow. 
227198	infighting. Too many sects within the party. Some capitulate too easily. 
227210	Trump and lies about the election. Can't get along with democrats and just want to fight all the time. 
227258	Not sure that its a good idea to let individual states decide on abortion rights 
227400	How they allow the divisiveness Donald Trump presents to the American people. 
227411	policies and treatment of minorities 
227572	abortion issues sould be left to individuals.[CHAR(10)] 
227584	We should legalize abortion 
227600	They are bias and does not support or promote fair policies for ALL people 
227606	My answer for what I like was meant to be here; my bad 
227629	they are not progressive in thought, backwards 
227641	unwillingness to cross Trump; weakness when dealing with Trump; lack of family values; poor fiscal responsibility; no new ideas; beholden to Trump; anti women’s freedoms; wanting to control history; book controls; making candidates take an oath to support their party; wishy-washy character; loss of love of democracy 
227647	I dislike that virtually every Republican because the support Mr Trump without reservation. Virtually no one criticizes his lies and personal attacks and that allow him to act like a 10 year old 
227659	views come across as racist and not accepting 
227694	abortion control is an individual right not a political one 
227706	POSITION ON IMMIGARTION AND WOMENS HEALTH 
227712	MAGA is not GOP 
227724	Restrictions of unions 
227730	they have gone too far right, unreasonable, trying to take us backwards. 
227736	when they vote with democrats. 
227741	I don't trust any politians, including Republicans. 
227771	Disregard for other people that aren't Christian, straight, cis, or white. 
227789	they are still politicians and can’t be trusted 
227795	strongly dislike trump 
227806	too much Trump worship 
227842	bureaucracy, politics 
227877	Their policies, ideals, candidates, voting record. 
227895	sold their soul to the devil 
227913	as I said lots of Rinos and they hold hearings then nothing. some are good most don’t do anything and the fbi and cia are corrupts and need to be gone 
227978	Wish they were more for conserving land. 
228001	how republicans are treated by the democratic party 
228025	Project 2025 and Donald Trump has 34 charges against him if it was anyone else they wouldn't have been able to run for president cause they would still be in jail with no bond 
228042	women should have the right to make their own choices about healthcare and abortion issues 
228048	I don’t like the way they let Trump tell them what to do and they do it. don’t like their position on abortion, immigration and health care. 
228096	THE REPUBLICANS FAVOR GOVERNMENT POLICIES THAT THE MAJORITY OF CITIZENS DO NOT FAVOR, ACCORDING TO POLL STATISTICS AND THEY SEEM TO LACK THE COURAGE TO OPPOSE DONALD TRUMP IN ANY WAY. 
228108	they are putting party before the constitution 
228137	I don’t like that they don’t do more to stop riots in cities, inflation and giving other nations so much money. you would never know they have power of the house. 
228143	Abortion rights and their odd Christian ideas that don't make sense 
228179	No opinion at this time other than in disappointed. 
228197	Can be stubborn 
228203	The wishy-washy they don't stick together like the Democrats 
228220	Leaning to far to the right. I'm a moderate Republican, leaning to the right, but not extreme. 
228280	sometimes to conservative, still overspending. 
228309	No able to accomplish some legislation. 
228351	do not agree with all their social issues 
228416	Trump talks out both sides of his mouth 
228627	it's a shit show, circus 
228791	I don't feel like most Republicans and Conservatives run on actual policy. They run on Social & cultural issues.[CHAR(10)][CHAR(10)]It also doesn't feel like there is a Republican or onservative party in America anymore. It's the party of Trump. 
228821	they are for rich people 
228944	I do not feel they are doing anything to help the American people. 
228991	squeezing out the middle class by tax breaks to the wealthy. wanting to cut/abolish programs that help benefit the less fortunate 
229003	I hate how they’ve become tied in with religion and pretend to be servants of god. they feel like giant toddlers whenever I see news featuring republicans. 
229027	the Republican Party is weak and caves in unlike the Democratic Party, the Republican Party isn’t very good at advertising themselves like the democrats besides what they can put out on YouTube 
229173	
229185	their inability to make change happen 
229259	anti women's health choices, 2025 agenda 
229319	They are yesterday’s democrats and becoming more liberal each day. When in control they do nothing. They don’t know how to lead, only oppose. 
229325	inability to stand on valves and place someone who is better qualified to be President 
229348	Some of them, in the midst of recent turmoil, need to act a little more classy. 
229396	They have a tendency to not vote uniformly as a group when needed. They have broken party or been to determined to push more for their own personal agenda. Such as stone walling to elect the speaker of the house. 
229446	social policies, contradictory behavior and statements, hypocritical behavior. 
229452	They are all for the rich people 
229606	Project 2025 is scary. To patriarchal. 
229812	could be more union/blue collar friendly 
229817	unable and unwilling to work with the Republican Party and help the American people 
229834	pretty much everything they represent 
229863	That Donald Trump is in their party. 
229898	Everything, nothing is good about them. 
229928	It seems that they have hanged over the years to a more negative attitude. 
230004	too many career politicians [CHAR(10)]get caught up in playing politics 
230045	Weakness when defending and governing in accordance with our constitution. 
230057	some of the party line individuals try to use the platform for there personal journey. 
230098	discord between party members 
230116	trumps pompous attitude 
230157	They need to Wake Up 
230186	to many career politicians 
230214	Lack of fiscal responsibility 
230238	I don't like that the Republican party is anti-abortion and that they tend to give tax breaks to businesses and the wealthy. Lately, I don't care for the MAGA faction that has formed in the party. I feel they are pushing for hatred and divisiveness in this country. I feel some members of Congress are being obstructive and only care about their own fame and narrow-minded ideals. 
230255	there needs to be more appealing candidates than Trump. he is very polarizing and turns off many voters who are on the fence 
230261	They’re bought and paid for by corporations and special interest groups… hypocrisy is the new motto for those parisites 
230267	To much politics instead of unity.Both parties have failed the American people 
230337	I do not like that sometimes when they are speaking they are only saying what the other party has or has not done. i would like for once to have a debate where all we hear from both side is what they will do! This statement is for both Democrats and Republicans. 
230361	We still have a few R I N O s. 
230396	All the lies politicians tell, no accountability or responsibility. 
230402	the old guard rhinos who have been holding their office many years and have abdicated the power of their office to unelected bureaucrats who don’t have the best interests of the American people at heart 
230449	They're bought by big Pharma just like everyone else. 
230455	just a few views.[CHAR(10)] 
230515	Donald Jessica Trump 
230597	I think abortion is unjustified in many cases but I am not sure removing the ability of women who were not pregnant by consent to a sex act that could result in pregnancy to prevent and even abort in cases of rape is a good idea. 
230751	The far extremest within the party and all the conspiracy bull crap that they use to disrupt Congress proceedings. 
230856	everyone needs to work together 
230868	It's no longer genuine improvement of people. it's all back pocket deals 
230995	to the all republicans [CHAR(10)][CHAR(10)]your not doing your job right [CHAR(10)]wtf .. 
231001	They put more effort into blocking the other party from accomplishing anything than they do into building consensus and getting things done for the people. They lack balance in their policies and agenda, tending to favor the wealthy and large corporations over the interests of small business, the environment, and the welfare of the people. Big on inflammatory rhetoric and buzzwords, short on practical commonsense solutions. 
231031	They, like all politicians, will pretty much say whatever they believe will get them hired. 
231037	Failure to admit/express the disgrace that Donald Trump embodies as a leader of our nation. more concerned with the party’s power and position than the best interests of our people and country’s future. 
231107	cannot work together with other parties 
231166	
231277	providing too much cover to the top earning companies of the country. attempting to regulate the human body because it offends them. abortion and alike should be treated no different than a breast reduction or Botox, it is a medical procedure that affects no one else. 
231319	asshole donny trump! 
231324	everything. they are mean and spiteful elitist. they serve big business and whoever has the almighty buck instead of the average Americans. they parade around with there altruistic persona that they wear and claim to have “Christian” values when they are a bunch of hateful narcissists. NONE of their behavior reflects the actions or attitudes of Jesus Christ. And unlike Mr. Trump, I am a Christian, I have read the Bible, I know the difference between the old and New Testament, I can name all the books & quote hundreds of scriptures and tell you where it comes from. 
231360	Too much talk and strong letters instead of action. They are too few fiscal conservatives now. 
231383	I was raised a democrat, and was always taught that they were the working party, but now the Republican party is the working party. 
231389	
231448	They are not proactive enough. 
231466	Stupid is in any party. Reasonable people can disagree. some of the elected officials in both parties put the people 3 rd. The Republicans disagree and stonewall too often. often for petty reasons. America first should resonate. 
231496	not a cohesive unit, easily split 
231519	I believe they should be more against abortion and it should only be acceptable in very rare occasions. Shouldn't be left up to the states. 
231531	Weak. Power-hungry. Willing to sacrifice principles to maintain power. 
231555	RINOS. They need to switch sides and stop riding the fence. They are 2 faced hypocrites who stand for nothing. 
231615	racist, homophobic, populist, cult like, hates women, hates progress 
231650	Views on abortion, gender affirming care, their homophobia, transphobia, mysogony, and every other phobia they have 
231709	They have no real platform other than making it their mission to dismantle initiatives of the other side 
231739	which Republican Party are we talking about? The Crazies Unleashed? There is not one single positive aspect. 
231746	abortuon rights, immigration 
231770	MAGA influence overwhelming 
231788	they are like children - if they don’t get what they want they don’t play. see Mitch McConnell when blocking Obama from putting up a USSCJ and then when Trump is in office and he allows it no problem. 
231800	Missed the questions 
231818	The tendency to misuse monies and exacerbate poverty. 
231824	All Trumpism and MAGA. 
231898	following trump 
231962	The vast majority of the Republican Party have shown that they wish to take the country back to a pre-civil war condition, abandoning our inclusive, welcoming policies that promote opportunity and instead creating a minority led white government and social hierarchy. 
232027	
232053	I don’t like the Trump party that pats women on the ass and wants to make them have babies that they don’t want.[CHAR(10)]I don’t like the Trump party drowning immigrants like they were the Jews of the 30s 
232071	I was briefly a registered republican. I am conservative when it comes to finances, taxing and spending and quite liberal on social issues like gay marriage the gender identity. The party has moved very far from the party I once joined. 
232077	corruption 
232101	Not challenging Trump, stance on abortion, stance on Supreme court 
232229	MAGA, politicians who sacrifice their values for political gain 
232252	They are too focused on imposing their beliefs on everyone. They are too focused on legislating the private lives of all Americans. 
232282	everything they stand for 
232311	Too conservative 
232323	all politicians are rotten liars.[CHAR(10)]congressional and senate representatives are clearly corrupt. 
232352	They are too isolationist. 
232415	too strict on certain topics 
232426	Very hateful. Looks to take away human rights for so many. And so many are anti-vaccine. 
232462	conservative views on abortion, privatizing health care, lowering taxes on the wealthy and big businesses, policies that harm the environment, reducing funding for education 
232549	culture issues and lack of separation of church and state 
232555	defunding of education, reduced environmental regulations, blazing immigrants for problems we created (border control) limiting abortion access, adding “Christian values” to school and politics, 
232634	I’m not a fan of strict anti-abortion legislation. I also think they could have done a better job of finding a suitable presentable candidate. 
232640	They don’t seem to care too much about the environment and they will abuse the environment in order to make money. 
232670	everything they stand for 
232693	narrow view point 
232716	party over people. They seem to value big business over the majority of Americans. They do not care about issues effecting people, they care more about power and back Trump over much more qualified and better experienced and ethical candidates 
232734	Populist, pro-busineess, anti-taxes, trump, xenophobia, anti-abortion 
232763	the stance on abortion, how they treat minorities, how they treatvwomen, alot lie, how mean and insulting they are, how they try to push God on everyone 
232769	anti LGBT policies, anti immigrant policies, destruction of educational infrastructure 
232781	abortion restrictions, old fashioned thinking 
232793	Their unconscionable inability to rise above their narrow political views for the good of the country. 
232829	They act like they care about the america people but actively work against the people who vote for them. They are only looking out for their backs and big business. 
232858	Inability to stand up to Trump and protect women's rights 
232888	I comprehensively dislike everything about their social policy and efforts to impose their moral opinions on everyone in deeply damaging ways to our collective health and wellbeing with a flagrant disregard for logic and facts. 
232900	a woman’s right to choose 
233024	isolationist and big time phonies. I assure you, what they say around their kitchen table is different from what they espouse publicly. Commonly known as a phony.[CHAR(10)][CHAR(10)] 
233116	Donald trump and his loyalists 
233122	The Republican party use to be a Law & Order party; No one is above the law. Democracy is what keeps the world in peaceful existence. But since the MAGA Republican party rear its ugly head under the short, deceitful, shameful, & chaos stint under Donald Trump, esp when the U.S. Supreme Court ruling violates the Constitution, which is not the intent of our Founding Fathers, is raising more doubts about their existence. 
233193	Donald Trump and his cult followers 
233205	Everything at this time. They are wanting to see more rights taken away, do not care about women’s rights and children. overall they have become a party I don’t care about. 
233211	denies too many things, can't manage [CHAR(10)]facts well, fearful and easily manipulated to agree with facism 
233217	I am single, no children and have cats. 
233223	I don’t like how they stood behind Donald Trump despite all of the horrible and criminal things he does and has done. They just went along with everything, no matter what Trump did, even though any sane person knows that behind closed doors, many of them know he should be prosecuted for his crimes and that he’s unfit to be president 
233258	continuing to support fracking for oil 
233276	it has become a cult, following one narcissistic crook 
233282	don't get down and dirty enough with the corrupt democrats. play way to nice and fair. 
233288	weak messaging to the 
233381	Fascism, authoritarianism, cult of personality, racism, homophobia, hypocrisy, heartless policies, christian nationalism. 
233416	They are mainly for big business tax breaks and the rich. 
233470	
233493	
233541	Lack of willingness to address social issues and a bias towards supporting large corporations. 
233595	disregard for others, low level of education among party members 
233624	alot, and no i will not be elaborating here either 
233690	They are not putting country before party. 
233725	very committed to their causes 
233796	They worship a man. They no longer have moral values. They don’t set forth policies if not approved by Trump. They cheat and lie openly. They promote violence and division. They promote racism and they bring out the worse in their party. I do not recognize that party any longer. 
233802	most of the time republican ideals in play never get fully seen through or, like democrats, is truly underwhelming or a waste of taxes. 
233808	Gun control and abortion law. 
233873	l am Democratic Party 
