V240001	V241170 - PRE: What does R like about Democratic party [text]
210405	Strong progressive policies that impact everyone 
210526	
210544	Attempts to make policies to help disadvantaged people. Seemingly less racist. 
210608	The people are who need to participate in the rules of the land. we have gotten away due to the money involved in politics. A third party, limits on spending when running, every vote counted as given. swing states make no sense any longer. 
210614	General policies, and human rights issues. 
210650	labor issues tax policies abortion policies 
210734	I was raised in a Democratic home. Back then I believed that they were for the working home. Now I do not believe that. I was a union man for many years. 
210741	pro choice, focus on healthcare and affordable care act, prison reform 
210759	good leadership...........not letting trump be involved 
210783	They are empathetic to the children of our nation. They try to protect the elderly. They try to bring down medical costs. Try to have a fair tax program. Protecting our environment and women’s rights. 
210789	political view for all 
210806	
210860	diversity,abortion 
210913	I stand for many things the Democratic Party stands for such as its stance on reproductive rights, LGBTQIA+ rights, the idea of assistance financially in many aspects when people need it, specifically in healthcare, etc. 
211030	I stand with their beliefs on multiple topics 
211099	Working across the aisle to pass legislation! I’m glad Biden stepped down, although I just wished he would’ve done it sooner to allow a primary. I am a moderate. 
211105	they are more for the working class and try to help people in general more . they fight for woman's rights and people's rights 
211111	for the workerimg man and protect socsecurity 
211123	Thet are for the working middle class and support Unions. 
211128	Pro women's rights, voter rights, gay protections, minority protections, economy works for all. 
211134	Fairness. They listen more. It's more of a group effort in compromise. 
211140	Consistency in supporting what is[CHAR(10)]in the best interest of the people! 
211176	There's bad people in both sides, everyone is pushing something on someone else. With the democrates its fake woke garbage. Being iffended on the behalf of someone else. Everyone has a mentao illness now. ect 
211187	A party that supports expansion of the middle class, public medical care, bodily autonomy, sensible gun restrictions, immigration, respects the role of good governance and true progress for all Americans. 
211211	General regard for human rights, advocates for workers unions, advocates for positive health care change, regard for climate change, advocates for social programs that help to assist citizens in a lower social-economic level, acknowledges history and does not push a singular religion (Christianity) into public education, values diversity, etc. 
211223	I just agree with most of their policies and can easily relate to Democratic views on abortion, gun control, environmental protection and workers rights. 
211235	abortion rights, pro public education, women’s rights, equality for all, pro middle class 
211241	They fight for the common people and want to push this country to be a place of acceptance and welcoming. 
211282	They are willing to fight for women's autonomy of their own bodies. Empathy for others. Fairness. Non-judgemental 
211288	they are more for the people 
211300	The Democratic Party are looking at betterment for the whole. They care about the middle and lower classes. They strive for fairness in taxes. They try to make our world a better place. 
211336	They seem to want to work more with the middle class. They are fighting to not go back to the 60’s with women’s rights!! 
211383	I believe the Democratic Party is on the side of the average people. I believe the middle class is what made/makes the US strong and the best/most coveted place to live in the world. The dem party is the party of the middle class. 
211407	way to extreme gone completely communist, radical and wrong for this country 
211430	seem to care about ordinary people more then the republicans. 
211444	I don’t like your ideas. 
211450	democratic; freedom[CHAR(10)][CHAR(10)] 
211626	They try to improve people's lives. 
211656	They didn’t cause January 6th 
211662	at least they are trying to work together 
211703	They will do their best to help poor people 
211739	Abortion views, women’s rights, LGBTQ rights, social platforms, immigration 
211810	
211840	focus on people improvement and democracy[CHAR(10)] [CHAR(10)] 
211852	Most of the Democratic party holds similar values to my own. I agree on most of the Democratic party's strategies and policy. 
211858	only the women's rights issue. 
211876	refer to what I stated previous 
211905	It wants what is best for all Americans. 
211911	They stand up for the middle class, lower drug prices, health care plan, started infrastructure, kept taxes in check. 
211964	giving everything away. 
211994	policies benefitting majority of americans 
212018	on social policy they tend to set a more accepting agenda 
212113	liberal, woman’s rights, healthcare 
212191	They seem to be more inclusive and progressive in their ideas. 
212294	Support of the Unions, Reproductive rights. 
212359	It’s still a cult, but at least they aren’t stripping away fundamental human rights and know when to step out of the hospital room. 
212388	98% of their beliefs. 
212400	wanting to help people who don’t want to help themselves 
212405	their more liberal policies 
212423	The policies can be exciting. 
212463	
212475	they look out for the working class, woman’s rights, public education. 
212481	I agree with their values, and they relate to lower and middle class than Republicans. 
212487	I think they try to promote programs to help people, and I understand that those things may cause an increase in taxes. 
212493	for the good of all, honors women: their brains and their bodies, 
212504	Sanity. Plain and simple. Do I believe that Kamala Harris and Tim Walz will change the WORLD? A little bit to be certain. She will be the first woman to be President of the United States. About damned time. So many other countries across the world have already done this to great success. I know that there will be mis steps along the way. I don't believe that things will magically change overnight. Things don't need to change that much. Just steady the course. Things are fine. The economy is doing great. Bring excitement and joy back and maybe try to heal some division. Raise the minimum wage. Lord knows that should have happened eons ago. Give women the rights back to control their own bodies. Just basic human rights. Across the board. 
212534	They are unified like a crime family. If it is a bad law or policy, they wil still vote for it 100%. 
212540	Abortion Policies 
212581	The are the lessor if the two evils right now. 
212670	They spend, spend, spend. US is trillions in debt. I do not like their stand on Gender issues?? 
212687	democrats seem to be more open minded and for the people. BUT both parties need work 
212699	I believe that for the most part they are concerned about all Americans. 
212729	everything sucks ass 
212783	
212817	
212842	they fight for individual rights, work with foreign nations 
212884	work for the mainstay of the working person 
212932	They're forward thinking and inclusive of everyone 
212950	Abortion rights, climate policies, LGBTQ+ rights, women's rights, etc 
212998	Their stance on healthcare and abortion rights. Working to help disadvantaged people and the lower and middle class. Common sense gun control laws 
213024	promote social safety nets, reproductive freedom, minority rights, gun control, voting access, maternal and child welfare, public health. 
213094	the idea of acceptance of all people 
213135	Moderate social programs 
213147	they are good at flipping their view and lying 
213188	they are for the people. middle class help the poor 
213381	immigration, economy, crime, social issues 
213387	their help with controlling prescription and medical costs 
213453	They march inline like ants! 
213512	I agree with more of their policies. I believe in the right to abortion, lgbtq+ rights, and the climate. 
213536	I think they try to do the right thing for the people. 
213601	it is more for the common person 
213607	Economic policy[CHAR(10)]Human rights policy[CHAR(10)]Women's rights 
213631	overall more level headed, not that there still cannot be extreme democrats but usually in a much more peaceful way. 
213643	 Democrats stand for democracy, decency, & helps, cares for the eedy[CHAR(10)] 
213649	Balances individual responsibility with a safety net for those who cannot care for themselves 
213655	very unsure about the representation. however, I don’t know much about them 
213660	Democrats tend to have a better focus on the people as a whole, allowing for the freedom to make decisions in the best interests of a community and family. Minnesota has done this while running a budget surplus. 
213666	Democrats tend to favor more inclusive and fair policies, they tend to understand science and accept what inconvenient truths that might force them to face. They tend to be forward-looking, more concerned with the well-being of people and the environment than of the corporations and their bottom line. They tend to be OK with letting people have their own, different, beliefs and not imposing their personal views onto others. 
213684	
213696	they care about people. they want the best for people . I worry though that my religious faith is not their priority. 
213708	they have gotten good things done for the American people. such as social security. and medicare 
213834	progressive thinking. not all but there does need to be the ability to move forward and not live in the past. 
213869	they are all about freedom 
213893	Gun Rights[CHAR(10)]Abortion Rights 
213928	the are moving into the 21 etuery 
214003	where they want to lead our country 
214026	trying to be inclusive of all Americans 
214063	For the people, by the people and not Big business. 
214069	they are for fairness & they care about our people. 
214075	views on education, women’s reproductive rights, gun control 
214092	Their desperation to be “woke” and liberal absurdity with crime and immigration has turned them into a pandering joke that places all their focus on ridiculous nonsense that does NOTHING to help and or better serve our country. 
214098	the people in it 
214128	healthcare reform 
214216	they didn't nominate Donald Trump 
214243	They follow the rule of law and not the chaos/lies of the MAGA people. They support women's rights and our allies. 
214249	they promote equal rights 
214267	they treat everyone like people and not breeding stock 
214278	I do like most a few of there goals like; Reduce poverty and create more opportunity for the less fortunate. I just don't think how they try to to execute these goals can work. 
214296	the idea that they represent all people[CHAR(10)] 
214314	abortion issues, 
214582	human rights advocates 
214612	I feel like they are more open minded about some issues. 
214664	providing benefits to aging people[CHAR(10)]caring for the environment[CHAR(10)]gun control laws[CHAR(10)]recognizing climate change and need for change[CHAR(10)]respect for individuals of all races[CHAR(10)]does not support an idiot like Trump 
214670	The democrats appear to have leaders that are trying to take the positive steps nationally to improve American rights. That is rights to choose in family matters, education as well as, generally speaking, living a more constructive life. 
214723	the law is not the same for Democrats 
214772	They care about the average person and climate change. Also about the fate of our country and the world. 
214778	we try to take care of the middle income people 
214873	They shut down the oil pipeline on the first day raising gas prices. I live paycheck to paycheck and that alone with inflation has hurt me financially really bad 
214962	they are more for the people and not the big companies 
214986	they are more focused on helping people 
215003	working together 
215057	they talk out of their butts and have no clear direction when speaking 
215120	I'm one , no 
215214	help disadvantaged 
215279	How they're handling abortions 
215301	support facts, science, human rights, the environment better 
215319	abortion rights 
215343	abortion rights, prospects for universal healthcare, and ensuring the wealthy are paying the appropriate taxes 
215355	my body/my choice, increased firearm regulations, the general feeling of acceptance of all. 
215415	They are for abortion and they lack a moral compass. 
215451	women’s rights, workers rights, health care access,education 
215487	The Democrats are pushing the issues that need to be acknowledged. They are breaking barriers, getting the people prepared publicly as a whole to create better support for opportunities. 
215540	everything they do 
215617	They care about everyone not just the rich 
215658	women’s rights, gay rights, immigration 
215815	They are for the Low and middle class for the most part 
216020	trying to get back to roots help the working class and looking out for the people in general 
216085	progressive stance human rights 
216091	Hope offered. How address the middle class. Stuent loan forgiveness. opportunities for the middle class. How education is addressed. 
216103	clicked the wrong choice 
216109	The Democrats are the adults in the room. They care about the average person. 
216115	That it, while imperfect, stands up for the rights of all individuals. 
216156	ellos casi siempre apoyan a los hispanos 
216162	the democrats make an effort to be inclusive of all demographics, including those that do not traditionally support them. democrats generally are the ones who genuinely advocate for freedom - the freedom to choose, the freedom t be different and the freedom to compete on an equal basis. 
216174	Support for working class. Generally favors people over corporations. Support for LGBT. 
216210	It’s inclusive and seems to understand the concept of family values. Their policies address people’s needs instead of corporate needs. 
216216	have worked to try fix things 
216383	embrace of differing views 
216395	stances on abortion and women’s healthcare, freedom from religion, LGBTQ stances, environmental issues, 
216407	Focus on social programs, support for LGBTQIA rights, support for women's rights, separation of church and state 
216419	Momentum, inclusivity, kindness 
216448	stance on the border, abortion, ecoy 
216510	abortion, foreign policy, economy, healthcare, care about people 
216522	I think the Democratic party actually looks out for people and puts forth policies that will actually do good. I think they care for their voters. I think it's made up of intelligent people. 
216528	their ability to think about the women in this country 
216593	They’re pro-choice 
216746	Fighting the Supreme Court 
216804	They care about marginalized people and work to make our country more equitable. 
216874	our ideals align . seems like they’re handling the country well 
216880	for all the people 
216934	POLICIES FOR OUR COUNTRY LOOKING FORWARD 
216952	they wanna help 
216982	I like the fact that the Democratic Party look out for all of America not just the wealthy. 
216988	rational policy making, consistent vision, broad coalition, America that works for all 
216993	they try to help everyone, they try to be fair[CHAR(10)] 
217005	It just needs somebody to look after the social security disability. People or retire people. When you get in the run around and the short In of the stick, we need help too. 
217011	They don’t want to strip me of my personal rights and freedoms. 
217017	I do like their ability to get help to those in need. 
217023	is the fact of having an open mind not being shut down if some thing looks different and the Republicans are trying to divide 
217041	actually getting stuff done in the last 4 years 
217059	The democratic party represents a diverse America. The democratic party prioritizes social issues and the middle class. The democratic party actively fights for my family’s financial security. 
217131	while I don't like pelosi, schumer, nadler, et al,[CHAR(10)] I do admire the way they are able to draw themselves together on controversial topics. 
217182	supposed to forgive all student debt. happy for the ones that did receive relief. trying to get abortion protection for women. 
217205	Some of the public assistance programs and the city funding assistance for road construction 
217223	they believe in equality amongst humans 
217228	they believe in a future for the middle class and the poor and they want to make this country better and for all of us to feel safe and proud of America and they will do whatever it takes to get that done 
217234	The Democratic Party desires for everyone to be treated equal. 
217240	The party leaders in the national,state and local organizations seem to listen to the people better. 
217258	equality, fairness, minority rights, progress. 
217263	Immigration[CHAR(10)]Abortion[CHAR(10)]Environment[CHAR(10)]Women's rights 
217287	focus on womens right, social policies, and generally improving the cou try in bipartisan manner where possible 
217298	Have the best interests of the people of the USA 
217431	abortion rights 
217497	more open to immigration 
217527	They seem more willing to work across the aisle. 
217610	they have a more favorable position on abortion 
217634	disability to create more jobs 
217701	less likely to push racist legislation 
217719	policy driven and trying despite the other party to make life better for all Americans 
217731	general policy direction on abortion, democracy, guns 
217737	I like that their polices are slightly more democratic and equitable. 
217749	most of their views 
217778	i’m a Democrat so I believe that the Democratic Party is sincerely trying to take the country in the right direction 
217808	They seem concerned about the social aspects of society. 
217890	sane party. cares about governing. 
217907	policies on abortion 
217943	Aligned with the common senses solutions that benefit that US and its middle class foundation. And they are actually fighting climate change. 
217948	Civil rights and social justice party, climate conscious 
217954	They generally value societal issues. They generally seem nicer than Republicans. They are somewhat trying to help immigrants. 
217972	they are more liberal, care more about the middle class people of the US 
217995	support the middle class 
218013	They generally have policies favorable to middle and working class. 
218019	Willingness to bipartisanship 
218031	their inclusiveness 
218037	In general Democrats support more progressive ideas such as abortion accessibility, workers’ rights, and LGBTQ rights. These ideas are important to me so I generally feel favorably towards the Democratic Party. 
218066	Higher minimum wages, public education, clean energy, 
218090	generally leans towards progressive policies 
218166	It seems more open minded 
218236	they seem to be less dangerous than the republican party currently. 
218284	they are much more Liberal and open minded 
218296	inclusive, policy oriented, progressive agenda. 
218331	keeping politics intelligejt 
218349	Somewhat liberal 
218361	Policy on abortion and global warming 
218379	Fairness. They treat the underprivileged the same as they would the rich folks 
218408	I feel they have helped the various issues in a more responsible manner. Medicare, foreign policy, domestic issues with the alternate style persons, education could be better and books. 
218414	They are pro-choice and more willing to compromise. I was raised and voted Republican for decades but have seen the Republican Party become a farce and unwilling to stand up to Trump. 
218426	abortion stance, 
218450	Liberal to Moderate 
218563	promote public schools [CHAR(10)]increased access to healthcare and abortion 
218575	fairness 
218622	Their policies are palatable-there is a real debate happening internally instead of a cult of personality. 
218657	for the people 
218693	their investment in education & infrastructure 
218739	They are willing to think of the lower income on a favorable scale. 
218787	OPENNESS TO NEW IDEAS, BELIEVE IN A WOMAN'S RIGHT TO HER OWN BODY 
218805	very good leadership and good governance 
218847	most of them have common self goals 
218935	they are more loving toward all people 
218970	They are destroying the USA 
219014	publicans favor Big corporate they are in touch with every day Americans needs 
219032	tradition of standing up for the middle and lower classes 
219056	They are more people oriented than corporations and big business 
219104	The way they band together. 
219155	gun control and support abortion right. 
219303	agree with their values 
219556	social policies, health care 
219586	I meant to press no and i can’t go back 
219709	economic conditions. 
219745	not racists [CHAR(10)]inclusive [CHAR(10)]gives social aid.[CHAR(10)]does more regulations[CHAR(10)]somewhat more favorable for the environment 
219776	They listen to the regular people and look for solutions to address our issues 
219841	Sensitive to middle class, working toward lower prescription drugs 
219888	personal liberties and care for people 
219900	they are for the poor people. they believe in the choice of abortion 
220035	more inclusive of all. 
220088	se preocupan en todas las personas 
220094	everything. everything has gone up in cost, but not change in pay 
220124	
220183	they support abortion 
220189	I FEEL A SENSE OF AUTONOMY WITH THE DEMOCRATIC PARTY. I AM A 56 YEAR OLD WOMAN IN THE DEEP SOUTH. SINCE 2016’S ELECTION I’VE BEEN APAULD WITH THE REPUBLICAN PARTY. APAULD WITH THE DIVISION OF OUR TWO PARTIES. APAULD WITH THE LEVEL OF HATE, LANGUAGE, AND IMMATURATY THAT GROWN ADULTS ARE DISPLAYING. TO BECOME A UNITED COUNTRY, WE NEED A BIG RESET. I HAVE HOPE THAT THE DEMOCRATIC PARTY CAN GIVE US A NEW START. I WANT TO BELIEVE WE ARE ON A BETTER PATH. I BELIEVE AT OUR CORE(REPUBLICANS AND DEMOCRATS), WE ALL WANT THE SAME THINGS, BUT WE SIMPLY DON’T KNOW HOW TO GET THERE. CLEARLY WE HAVE DIFFERENT IDEAS OF WHAT MAKES A STRONG LEADER. ?? 
220220	platform. openness and 
220244	they are about the working people and the poor 
220262	Generally like the economic policy and international / global policies.[CHAR(10)]The national infrastructure policies are typically better. 
220274	They are working for all 
220279	taking care of the country 
220303	Embrace of longstanding American values, and policies which unite us, rather than divide us. 
220315	trying to provide a safety net for the poor and elderly, trying to reduce the power of the elite and wealthy, trying to build a safer world with relationships and partnerships, believing each US citizen has a vote and that vote should count, trying to make education accessible to all, cares about women and children, cares about affordable healthcare for all, works to maintain and improve roads, bridges, and air travel, notices when people are hungry and tries to help. 
220321	modern progressive attributes about American society 
220327	They’re not the Republican Party and show some progressive thinking at least. 
220339	They are more tolerant when it comes to people and how we are all different. 
220398	public policy. helping the middle class 
220428	
220464	As a person with Republican ideals, the democratic win seems to be the only way to keep Trump from becoming the next dictator. 
220476	I am more on the pro-life side but also pro-choice in certain instances 
220508	Revision de permisos para la obtención de Armas de fuego. 
220661	THEY WANT TO KEEP SOCIAL SECURITY 
220666	they have good views 
220702	Diversity of membership, organized labor support, consistent LBGTQ support, focus on the average person and the disadvantaged, faithfulness to NATO, opposition to Netanyahu's handling of Hamas attack 
220813	abortion, rights, free education support to Ukraine, Israel, still supporting Israel, even though everyone turned away from them, cost of prescription drugs down, support of renewable energy. 
220819	Shares my values on social issues 
220882	Handling of the economy 
220922	stance on abortion, guns 
220984	democratics always consider the less fortunate they try to make sure everyone get a chance to do well. 
221037	Continues to support the genocide of Palestinians, pro capitalism, many views are right wing on a global scale, not doing enough to protect trans rights and not doing enough to hold police accountable for their actions. They seem to say they support or want to work towards many things but don't put it in action whatsoever. Not supporting universal healthcare. 
221043	They stick together 
221067	women’s rights are upheld, immigrants are treated humanely, and social justice issues are treated with importance 
221073	Democrats believe in wealth and providing opportunities for ALL Americans - it also agrees with my stance on Abortion, Immigration, the economy, law and order and international relations 
221138	In Spite of the obstacles they try to be fair to everyone, 
221162	healthcare reform 
221186	very open minded about things 
221198	simply for the people, open ideas and don’t participate in degrading people because of their looks but rather focus on addressing policy issues. they weren’t afraid to realize their first candidate, Joe, should not run for president. Whereas good republican politicians have just rolled over and let an incompetent candidate become their choice. 
221210	opposed to Trump 
221222	The Democrats apply sanity and reasoning to decisions. There are people that extremely intelligent and experienced like Jamie Raskin, Nancy Pelosi, Tom Waltz and the names can go on continually. 
221263	as a whole the party cares about the people of america and the middle class and poor 
221311	focus on the middle and low income classes 
221382	the way they just change stuff because they want and not go by the rules 
221433	their policies and perspectives 
221445	A survey, mostly about political issues 
221469	less angry than republicans 
221486	They are more reasonable that the Republicans and are interested in improving society, particularly the needs of our children and environment. 
221510	FAIRNESS IN MOST DELIBERATIONS. 
221522	positions on [CHAR(10)] abortion[CHAR(10)] economy[CHAR(10)] taxation[CHAR(10)] rhetoric 
221545	They fight for rights and inclusion. 
221551	optimism and forward thinking 
221569	inclusion. seemed more human. 
221586	they care about people, they’re progressive and think if the future. 
221592	general stances on equal rights, womens rights, LGBT rights, higher educ school.debt, education 
221610	Views on equal rights, a women's right to chose pertaining to health decisions, paying your fair share in taxes, and maintaining our positive relations abroad. Investments in manufacturing, infrastructure, education, and environment pertaining to climate change. 
221616	Freedom of choice for women. 
221651	health care act, coverage of preexisting conditions [CHAR(10)]concern for middle class people[CHAR(10)] 
221786	I feel like they care a lot about other races in this country. Especially being hispanic-American in this country. They give a voice to those who feel like they don’t have a voice. They’re for women’s rights, and pro choice. Women should have control for their bodies. Especially when it comes to abortion. 
221816	they try to make policies that favor the majority of Americans 
221869	Support of women’s rights and the lgbtq community. 
222107	class. party is not built of tearing down or degrading others to get ahead. 
222159	priority is people over business 
222189	They don’t support criminals. I do agree with most democratic policy ideals. 
222294	General attention to the needs of less powerful and more marginalized citizens, support for LGBTQ rights, pro-choice oriented, sense of social justice orientation 
222300	They are for the Middle class 
222306	their stance on abortion 
222348	They forgave some student debt. 
222466	Abortion for the purpose of birth control may be a sin, but it should be protected as a right throughout the first and second trimester. The third trimester abortions have the potential to be more dangerous or painful. The unintended consequences of criminalizing abortions will stress the law enforcement and judicial systems. Any woman seeking an abortion could be tempted to file a false police report claiming rape to seek an exemption 
222472	too many handouts for the poor and tax breaks for the wealthy making it increasingly difficult for the middle-class to survive 
222541	more supportive of the general person, more inclusive, stance on abortion, stance on lgbtqia+, stance on tax structure, progressive 
222547	Their values on abortion, the border and the economy. 
222565	inclusiveness; delight in country; willingness to listen and act; willingness to change; to see a new route for the future 
222583	moderate policies and pro middle class 
222589	They represent the middle class more than the Republicans. I believe the majority of this country is middle class therefore their issues are the ones they focus on to provide a better quality of life. 
222607	Progressive, youthful. 
222619	they are too liberal. do not have our best interest as a country. too socialistic!! 
222643	In general, more concerned about people's welfare than Republicans 
222655	Some showing efforts to work across party lines 
222969	They are better on queer issues than the Republicans by a lot and center more helpful economic politics and antiracist agendas 
223044	democracy is important also along with Gods foundation and law and helping the poor and working class.. 
223183	they do their best to support the little people 
223195	I feel I stand a better chance on living peacefully 
223361	There is an overall care for people although misguided at times 
223385	I agree with many of their core beliefs. I also think many members have integrity and honesty. They are running an excellent campaign against Donald Trump. 
223432	radical view point - not trust worthy 
223572	They still put America first. They could do it cheaper, however. 
223577	Some members are pro-labor and calling for a ceasefire in Gaza/Israel. 
223601	They represent the average American 
223618	Comparatively greater investment and care for social issues (vs the Republican party). 
223659	They are for the working class 
223671	strong environment [CHAR(10)][CHAR(10)]good on woman’s issues 
223689	
223753	most seem rational and thoughtful 
223771	women right to abortion 
223812	Open borders; abortion support; tauting LBGT rights 
223890	I think the democratic party is very good at stating what working class Americans are feeling. 
223985	puts the money back into community’s 
224056	Not that they are helping the black race but the disrespect is not loud 
224079	I’m not even sure but gotta be something 
224174	I like that they care about helping different communities including LGBTQ, abortion rights, and helping the lower class. 
224316	support diversity, all races and genders…etc. 
224322	tend to stay on topic more and not attacking the other side as much 
224340	The Democratic party believes we can make life better for families, 
224416	we moved to the Democratic Party in 2008 to support Barack Obama mainly due to Sarah Palin being the vice presidential choice. They are pro-choice and support the underprivileged better. They support human rights and the right for everyone to worship how they want and who they want or not to worship at all which is freedom. We feel they truly believe in law and order, Equality and justice for all. We also feel they believe in democracy and will NOT try to stay in power in four years whatever cost. 
224422	Currently, they appear more reasonable in how they address challenges, are less confrontational, and take a more intellectual approach to serving the public interest. 
224475	Climate, democratic positions, healthcare, foreign policy, economic, taxation, equal rights, diversity, public welfare 
224534	trying to unite the country. policies to help lower and middle class. 
224557	Democrat policies align more with things I value. 
224575	They try and see the whole picture 
224634	the concept of helping others 
224739	policy on reproductive rights for women 
224745	social policy[CHAR(10)]position on abortion 
224782	they want rights for all 
224800	I like that they are forward looking and flexible in today's society. They care about the common person and the family. They want equity for all, regardless of who they are, what they believe, or what they stand for. 
224841	Stance on education, healthcare, abortion, gun control and voting rights 
224847	Fairness 
224853	Try to lower drug prices, and make health care affordable. They just seem to care more for their constituents. 
224882	Democrat's have not forgotten their values. 
224976	abortion rights, climate change advocates 
225012	Unrealistic spending policies, putting country further in debt. Sending ridiculous amounts of money to foreign countries and putting our citizens in danger with what is done with the money. Look at what we left in Afghanistan!! 
225159	diversity and inclusivity. 
225314	they seem to be more for the people 
225426	Progressive policies and believe people smarter than them. 
225461	WHAT CAN THEY DO DO MAKE IT BETTER FOR THE SINGLE MOTHERS 
225526	social awarness 
225550	Party is risking it all 
225616	I feel they work for all the people in our nation; not just those with their same party 
225634	Desire to include any and all. Womens' Rights... especially bodily decisions. Gun control. No book bans. Bring unity- stop the devisifness. 
225652	some special circumstances need to be thought of because everything is not cut and dry. 
225658	Stances on social issues; support for wider population of Americans; greater open-minded and open-door issues; peace-leaning; support of arts, climate, and culture 
225699	support for reproductive rights. 
225717	they trying to make the world better 
225847	inclusion, they are diverse and that is the strength of[CHAR(10)]the party 
225924	teammates how they work and come together 
225936	they care more about the country than the party. they care about the middle class. 
225972	women's rights, LGBTQ rights, environmental policies, protection of workers' rights, programs to support our poorest 
225984	they think more global and with more conservative policies 
225990	Their right to choose policy 
226055	They care about the average person. 
226061	Fairer tax policy, women’s reproductive rights, improved infrastructure focus 
226232	They have true value and they believe in America 
226274	Attuned to the needs of the middle class, children and senior citizens. More concerned about climate change and women's rights. 
226525	I like how most have differing viewpoints. 
226537	female rights. 
226632	They are in support of the best interest of their citizens 
226638	They are for women and the right to choose what to do with their bodies. They’re also for the middle class. 
226673	The Democratic Party is for the American people, not themselves 
226726	tendency to support the minority and the working class 
226838	views for our country based on the Bible 
226997	better for working people, support of unions, environmental policies, support of democracy, women’s health care rights, inclusion 
227014	They work for the people, improve our infrastructure which is rapidly declining, and want to keep business in the USA! 
227032	Supports inclusevity 
227044	They stand for democracy. 
227062	stricter gun control laws and women’s right to choose about abortion 
227103	most all of their liberal positions, the misrepresentations on Biden’s acuity, the attacks on Trump, the overall hypocrisy 
227115	The Democratic party looks out for the underserved and minority populations. 
227127	their stance on abortion 
227210	Harris is ok. And Walz. 
227258	More relaxed pro-choice policies for women on abortion 
227358	They seem to have a better plan to lower the national debt. 
227459	pro worker always looked after worker safety and wages 
227584	Abortion policies 
227600	They are for ALL people 
227606	They're not Republicans and generally look out for more people than just themselves 
227629	women’s rights - they support a woman’s right to choose 
227641	pro union; pro family; affordable healthcare; women’s healthcare; rule of law; 
227647	standing for women’s rights. standing for a compassionate immigration process and pathway to citizenship. standing for corporations and high wealth undividuals paying higher tax 
227659	accepting of everyone 
227677	general stave on abortionkll and gay righty’s mmm[CHAR(10)]mmm[CHAR(10)]muuu 
227694	too liberal. We need to take care of our citizens in the US before we help those that rush, our borders and who are here illegally. 
227706	WOMENS RIGHTS AS WELL AS IMIIGRATION AND TAKING CARE OF OUR POOR AND ELDERLY. 
227712	legal marajuana 
227724	I agreed with organized labor, civil rights, and progressive reform 
227730	they are more aligned with my beliefs and values, however I feel they have also gone too far in the opposite direction 
227771	Leans towards leftist views, even if they don't go all the way 
227795	they are opposed to capital punishment [CHAR(10)] 
227806	They are our best hope for a normal regular country 
227842	in general, has cared about social justice issues in the past 
227877	They manage to keep a massive disporate coalition together. 
227895	gun control stance 
228025	The Democratic Party is for the working people and not trying to tell a woman would to do with there body 
228042	women’s rights about healthcare and education issues 
228048	.They try to help people in middle class. Care about the social programs needed by so many. 
228066	Freedom & Equality for everyone! 
228096	THE DEMOCRATS SEEM TO FAVOR GOVERNMENT POLICIES THAT A MAJORITY OF CITIZENS FAVOR, ACCORDING TO POLL STATISTICS. 
228108	Freedom and upholding the constitution 
228143	Abortion rights policy 
228179	I like that they tent to help out the blue-collar people and the immigration. Our Country was built off their backs. What does the Statue of Liberty say? Give me your tired, your poor, your huddled masses yearning to breathe free! 
228197	Progressive ideas. 
228280	Biden, to liberal, over spending, immigration blideness 
228351	I like some of their social issues but believe they take them to far left 
228791	I feel like the Democratic party is the only rational party currently in America. They're the only major party that still runs on actual policy. While I may not always agree with some of their policies, they are at least trying to get stuff done and make progress in the U.S. 
228944	I think they are trying to do whats right for the American people 
228991	more inclusive, wanting to help the less fortunate 
229003	feels like they take care of messes caused by the republicans 
229027	I do believe that our college system is too expensive and democrats want it to be much cheaper or free. also our healthcare is ridiculous and I feel as if the democrats have better strategies of going about it. also I do like the way they go after big companies for screwing over the little man and using profit over human beings 
229173	they dont like to acknowledge they wanted to keep slavery fought to keep slavery but lost 
229259	their stance on helping people in general and conserving our democracy and saving our world. 
229325	Abortion rights 
229417	to make American great 
229446	social policies- marriage, right to choose, etc 
229452	That they want to help the pwople that don't have enough money 
229493	they just want votes by letting all these immigrants in to destroy cities and waste our tax payers money. weaken and make people not want to join military 
229511	consistent in their beliefs. 
229606	Democrats in some instances seem more accepting of others 
229630	do not agree with their political beliefs 
229771	They tend to ride the middle better then the Republicans 
229812	union friendly 
229829	the Healthcare plan[CHAR(10)] 
229863	Most of the policeies they hay alighn with my belifes. 
229898	Positive stance on abortion and immigration 
229928	Their liberal stance on many issues. 
230004	many democrats are good ordinary people - I feel they have been used and abused by Democratic Party leaders 
230057	they continue to focus on bring down Donald Trump because they know he cannot be bougjt by pick pack companies. 
230086	everything they stand for 
230116	healthcare for legal patrons. 
230238	I feel the Democratic party has a better record of providing assistance (welfare, Social Security, etc.) to low income people. 
230261	They want to help All Americans… not just the rich 
230515	Kamala Harris[CHAR(10)]looking after middle class [CHAR(10)]women’s right to choose 
230597	I like that they seem to agree that climate change is real. 
230667	The inflation is insane since the Democratic Party has had the presidency. 
230714	keeping medicaid medicare 
230751	Their efforts to raise all citizens in America to equality and inclusion. 
230878	fighting for what they believe is right 
230972	social security benefits 
230984	policies/ inclusion 
231001	more likely to consider the effect of laws and policy on the average person's life 
231025	they support womens rights 
231031	That they, at least appear to fight for helping people in need. 
231037	Preserving our democracy; rights to personal freedoms; gun control 
231166	
